Mouse,Power,Arcane,Draconic,Forgotten,Hydro,Parental,Physical,Shadow,Tactical,Law,Rift
Abominable Snow,1900,100,0,100,100,0,100,100,100,100,0
Absolute Acolyte,54000,0,0,0,0,0,0,0,0,0,2500
Acolyte,18000,25,0,175,0,0,0,25,0,0,0
Admiral Arrrgh,1800,101,101,101,101,101,101,101,101,101,300
Admiral Cloudbeard,81690,500,500,500,500,0,500,500,500,500,0
Aether,9800,0,0,0,0,0,125,0,275,0,0
Aged,9000,0,0,0,0,0,175,0,0,0,0
Agent M,38885,0,0,0,0,0,0,0,0,300,0
Agitated Gentle Giant,1000,10,10,10,10,0,10,10,10,10,100
Alchemist,1930,0,0,0,175,0,100,0,100,0,0
Alnilam,5500,0,0,0,0,0,0,0,175,0,0
Alnitak,6150,0,0,0,175,0,0,0,0,0,0
Alpha Weremouse,13650,100,0,0,0,0,0,150,0,0,0
Amplified Brown,750,10,10,10,10,0,10,10,10,10,100
Amplified Grey,750,10,10,10,10,0,10,10,10,10,100
Amplified White,750,10,10,10,10,0,10,10,10,10,100
Ancient of the Deep,37999,0,0,0,100,0,0,0,0,0,0
Ancient Scribe,16700,100,0,300,0,0,0,0,0,0,0
Angelfish,4960,0,0,0,100,0,0,0,0,0,0
Angler,8709,0,0,0,100,0,0,0,0,0,0
Angry Aphid,10000,0,0,0,0,0,0,0,100,0,0
Angry Train Staff,3499,0,0,0,0,0,0,0,0,200,0
Aquos,4600,100,100,100,100,25,75,400,75,0,0
Arcane Summoner,14300,150,0,0,0,0,0,100,0,0,0
Arch Champion Necromancer,72000,0,0,0,0,0,0,0,0,0,900
Archer,1500,0,0,0,0,0,100,0,175,0,0
Architeuthulhu of the Abyss,100000,0,0,0,400,0,0,0,0,0,0
Aristo-Cat Burglar,14590,0,0,0,0,0,0,0,0,600,0
Armored Archer,2590,0,0,0,0,0,0,0,0,0,100
Artillery Commander,21065,100,0,0,50,0,50,0,50,0,0
Ascended Elder,375015,0,0,0,0,0,0,0,0,0,350
Ash Golem,13601,100,0,300,0,0,0,0,0,0,0
Assassin,13175,0,0,0,0,0,100,0,175,0,0
Assassin Beast,14999,10,10,10,10,0,10,10,10,10,100
Astrological Astronomer,11825,0,0,0,0,0,0,100,0,0,0
Automated Sentry,950,10,10,10,10,0,10,10,10,10,100
Automated Stone Sentry,20250,100,0,300,0,0,0,0,0,0,0
Automorat,3751,0,0,0,0,0,0,0,0,200,0
Baba Gaga,3750,101,101,101,101,101,101,101,101,101,300
Balack the Banished,62000,50,0,200,0,0,0,25,0,0,0
Bandit,100,25,25,25,25,25,200,25,100,100,0
Bark,5000,0,0,0,100,0,0,0,0,0,0
Barkshell,8000,0,0,0,100,0,0,0,0,0,0
Barmy Gunner,275,100,100,100,175,0,100,100,100,100,0
Barnacle Beautician,5400,0,0,0,100,0,0,0,0,0,0
Barracuda,8600,0,0,0,100,0,0,0,0,0,0
Bartender,2250,0,0,0,0,0,0,0,0,200,0
Bat,515,100,0,100,0,0,100,200,25,0,0
Battering Ram,60000,25,0,0,0,0,0,25,0,0,0
Battle Cleric,10851,100,0,300,0,0,0,0,0,0,0
Beachcomber,8000,0,0,0,100,0,0,0,0,0,0
Bear,700,100,0,0,100,0,100,100,175,100,0
Bearded Elder,7825,0,100,0,0,0,0,0,0,0,0
Beast Tamer,3000,0,0,0,0,0,0,0,175,0,0
Berserker,600,50,50,50,50,25,50,50,200,0,0
Berzerker,8250,0,0,0,0,0,0,0,0,0,175
Betta,4960,0,0,0,100,0,0,0,0,0,0
Big Bad Behemoth Burroughs,35002,10,10,10,10,0,10,10,10,10,100
Big Bad Burroughs,51151,100,0,0,0,0,100,100,100,0,0
Bilged Boatswain,250,100,100,100,175,0,100,100,100,100,0
Biohazard,12999,0,0,0,100,0,0,0,0,0,0
Bionic,220,100,0,100,100,0,100,100,100,100,0
Birthday,765,100,100,100,100,100,100,100,100,100,100
Bitter Grammarian,90000,0,0,400,0,0,0,0,0,0,0
Bitter Root,6825,0,0,100,100,0,0,0,0,0,0
Black Diamond Racer,882,100,100,100,100,0,100,100,100,100,100
Black Mage,1550,100,100,100,100,25,75,400,75,0,0
Black Powder Thief,4999,0,0,0,0,0,0,0,0,200,0
Black Widow,4010,100,100,100,100,0,100,100,100,100,100
Blacksmith,27899,0,0,0,0,0,300,0,300,300,0
Bloomed Sylvan,1750,10,10,10,10,0,10,10,10,10,100
Bog Beast,4200,0,0,0,100,0,0,0,0,0,0
Bonbon Gummy Globlin,1800,101,101,101,101,101,101,101,101,101,300
Bookborn,6100,0,0,0,0,0,125,0,200,0,0
Borean Commander,2400,100,100,100,100,0,100,100,100,100,100
Bottled,3600,0,0,0,175,0,100,0,100,0,0
Bottom Feeder,3930,0,0,0,100,0,0,0,0,0,0
Boulder Biter,1500,10,10,10,10,0,10,10,10,10,100
Bounty Hunter,2100,0,0,0,0,0,0,0,0,200,0
Brawny,882,10,10,10,10,0,10,10,10,10,100
Breakdancer,750,100,100,100,100,100,100,100,100,100,100
Breeze Borrower,3500,100,100,0,0,0,0,100,0,0,0
Briegull,635,0,0,0,175,0,100,0,100,0,0
Brimstone,3200,150,0,125,0,0,0,200,0,0,0
Brothers Grimmaus,9000,0,0,100,0,0,0,0,0,0,0
Brown,3,100,100,100,100,0,100,100,100,100,100
Bruticle,16800,0,0,0,200,0,0,0,100,0,0
"Bruticus, the Blazing",58920,0,600,0,0,0,0,0,0,0,0
Buccaneer,4544,0,0,0,175,0,100,0,100,0,0
Buckethead,500,100,100,100,100,100,100,100,100,100,100
Builder,559,100,100,100,100,0,100,100,100,100,100
Bulwark of Ascent,818250,0,0,0,0,0,0,0,0,0,7500
Burglar,2100,100,100,100,100,0,100,100,100,125,100
Burly Bruiser,6300,0,100,0,0,0,0,0,0,0,0
Cabin Boy,100,100,100,100,175,0,100,100,100,100,0
Calalilly,6000,0,0,0,100,0,0,0,0,0,0
Calligraphy,888,101,101,101,101,101,101,101,101,300,300
Camoflower,9000,0,0,0,100,0,0,0,0,0,0
Camofusion,14500,0,0,0,100,0,0,0,0,0,0
Candy Cane,172,100,100,100,100,0,100,100,100,100,100
Candy Cat,1250,101,101,101,101,101,101,101,101,101,300
Candy Goblin,1750,101,101,101,101,101,101,101,101,101,300
Cannonball,3499,0,0,0,0,0,0,0,0,200,0
Captain,6885,0,0,0,175,0,100,0,100,0,0
Captain Cannonball,1800,101,101,101,101,101,101,101,101,101,300
Captain Cloudkicker,72000,0,0,0,0,0,0,0,300,0,0
Captain Croissant,500,100,100,100,100,0,100,100,100,100,100
Caravan Guard,9000,0,0,0,50,0,50,0,50,0,0
Cardshark,4500,0,0,0,0,0,0,0,0,200,0
Carefree Cook,2200,100,100,100,100,0,100,100,100,100,100
Careless Catfish,10000,0,0,0,100,0,0,0,0,0,0
Caretaker,1600,0,0,0,100,0,100,0,175,0,0
Carmine the Apothecary,9998,0,0,0,100,0,0,0,0,0,0
Carnivore,15099,0,0,0,100,0,0,0,0,0,0
Carrion Medium,8400,0,0,0,0,0,0,0,0,0,315
Cavalier,1270,50,50,50,50,25,50,50,200,0,0
Cavern Crumbler,3630,0,0,100,50,0,0,0,0,0,0
Centaur,5690,100,0,0,100,0,100,100,175,100,0
Centaur Ranger,7500,10,10,10,10,0,10,10,10,10,100
Chamber Cleaver,1400,0,0,0,0,0,0,0,0,0,100
Chameleon,635,100,0,0,100,0,100,100,175,100,0
Champion,12000,0,0,0,175,0,0,0,0,0,0
Champion Danseuse,72000,0,0,0,0,0,0,0,0,0,900
Champion Thief,72000,0,0,0,0,0,0,0,0,0,900
Charming Chimer,5100,150,50,0,0,0,0,100,0,0,0
Cheesy Party,1010,100,100,100,100,100,100,100,100,100,100
Cherry,1500,100,0,0,100,0,100,100,175,100,0
Cherry Sprite,2000,10,10,10,10,0,10,10,10,10,100
Chess Master,88000,0,0,0,0,0,0,0,4000,0,0
Chip Chiseler,1260,0,0,0,0,0,0,100,0,0,0
Chipper,4500,0,0,0,100,0,0,0,0,0,0
Chitinous,14000,0,0,0,0,0,0,200,0,0,0
Chocolate Gold Foil,2650,100,100,100,100,0,100,100,100,100,100
Chocolate Overload,200,100,100,100,100,0,100,100,100,100,100
Christmas Tree,847,100,100,100,100,0,100,100,100,100,100
Chrono,25450,25,0,175,0,0,0,25,0,0,0
Chronomaster,3000,0,0,0,0,0,0,0,0,0,300
Cinderstorm,9410,0,100,0,0,0,0,0,0,0,0
Circuit Judge,4500,0,0,0,0,0,0,0,0,200,0
City Noble,3810,0,0,0,100,0,0,0,0,0,0
City Worker,4240,0,0,0,100,0,0,0,0,0,0
Clockwork Samurai,50,25,25,25,25,25,100,25,100,0,0
Clockwork Timespinner,2300,0,0,0,0,0,0,0,0,0,100
Cloud Collector,2400,100,100,0,0,0,0,100,0,0,0
Cloud Miner,41950,500,500,500,500,0,500,500,500,500,0
Cloud Strider,33400,0,0,0,600,0,0,0,0,0,0
Clownfish,5110,0,0,0,100,0,0,0,0,0,0
Clump,1300,10,10,10,10,0,10,10,10,10,100
Clumsy Carrier,6559,0,0,0,100,0,0,0,0,0,0
Clumsy Chemist,233,100,0,100,100,0,100,100,100,100,0
Coal Shoveller,2250,0,0,0,0,0,0,0,0,200,0
Cobweb,1100,101,101,101,101,101,101,101,101,101,300
Coco Commander,2000,100,100,100,100,0,100,100,100,100,100
Coffin Zombie,1135,100,0,100,0,0,25,200,25,0,0
Confused Courier,2064,100,100,100,100,0,100,100,100,100,100
Conjurer,6000,0,0,0,0,0,0,0,175,0,0
Conqueror,6600,0,0,0,0,0,0,0,175,0,0
Consumed Charm Tinkerer,18435,300,300,300,300,0,300,300,300,300,0
Cook,2650,0,0,0,175,0,100,0,100,0,0
Coral,5400,0,0,0,100,0,0,0,0,0,0
Coral Cuddler,3930,0,0,0,100,0,0,0,0,0,0
Coral Dragon,7500,0,0,0,100,0,0,0,0,0,0
Coral Gardener,6741,0,0,0,100,0,0,0,0,0,0
Coral Guard,8709,0,0,0,100,0,0,0,0,0,0
Coral Harvester,6380,0,0,0,100,0,0,0,0,0,0
Coral Queen,11150,0,0,0,100,0,0,0,0,0,0
Core Sample,1000,100,0,0,0,0,100,100,100,0,0
Cork Defender,4550,0,100,0,0,0,0,0,0,0,0
Corkataur,18630,0,600,0,0,0,0,0,0,0,0
"Corky, the Collector",2595,0,100,0,0,0,0,0,0,0,0
Corridor Bruiser,17150,100,0,125,0,0,0,0,0,0,0
Corrupt,6351,100,0,0,0,0,0,0,0,0,0
Corrupt Commodore,300,100,100,100,175,0,100,100,100,100,0
Costumed Dog,1200,101,101,101,101,101,101,101,101,300,300
Costumed Dragon,1200,101,101,101,101,101,101,101,101,300,300
Costumed Horse,1200,101,101,101,101,101,101,101,101,300,300
Costumed Monkey,1200,101,101,101,101,101,101,101,101,300,300
Costumed Ox,1200,101,101,101,101,101,101,101,101,300,300
Costumed Pig,1300,101,101,101,101,101,101,101,101,300,300
Costumed Rabbit,1200,101,101,101,101,101,101,101,101,300,300
Costumed Rat,1200,101,101,101,101,101,101,101,101,300,300
Costumed Rooster,1200,101,101,101,101,101,101,101,101,300,300
Costumed Sheep,1200,101,101,101,101,101,101,101,101,300,300
Costumed Snake,1200,101,101,101,101,101,101,101,101,300,300
Costumed Tiger,1200,101,101,101,101,101,101,101,101,300,300
Count Vampire,1000,10,10,10,10,0,10,10,10,10,100
Covetous Coastguard,7000,0,0,0,100,0,0,0,0,0,0
Cowardly,4,100,100,100,100,0,100,100,100,100,100
Cowbell,570,50,50,50,50,25,50,50,200,0,0
Crabolia,4900,0,0,0,100,0,0,0,0,0,0
Crag Elder,4100,0,0,100,50,0,0,0,0,0,0
Craggy Ore,600,100,0,100,100,0,100,100,100,100,0
Cranky Caterpillar,1500,10,10,10,10,0,10,10,10,10,100
Crate Camo,3751,0,0,0,0,0,0,0,0,200,0
Crazed Cultivator,7000,0,0,0,0,0,0,0,100,0,0
Crazed Goblin,1500,10,10,10,10,0,10,10,10,10,100
Creepy Marionette,4000,101,101,101,101,101,101,101,101,101,300
Crimson Commander,9299,125,125,0,125,0,125,0,125,0,0
Crimson Ranger,5999,0,0,0,75,0,100,0,75,0,0
Crimson Titan,6799,0,0,0,75,0,100,0,75,0,0
Crimson Watch,5600,0,0,0,75,0,100,0,75,0,0
Croquet Crusher,2945,0,0,0,0,0,0,0,0,100,0
Crown Collector,2647,100,100,100,100,0,100,100,100,100,100
Crystal Behemoth,94170,0,0,2150,0,0,0,0,0,0,0
Crystal Cave Worm,12526,0,0,200,0,0,0,0,0,0,0
Crystal Controller,10550,0,0,200,0,0,0,0,0,0,0
Crystal Golem,17399,0,0,200,0,0,0,0,0,0,0
Crystal Lurker,24100,0,0,200,0,0,0,0,0,0,0
Crystal Observer,28400,0,0,200,0,0,0,0,0,0,0
Crystal Queen,20500,0,0,200,0,0,0,0,0,0,0
Crystalback,10925,0,0,200,0,0,0,0,0,0,0
Crystalline Slasher,6575,0,0,100,50,0,0,0,0,0,0
Cumulost,19100,0,0,100,0,0,0,0,0,0,0
Cupcake Camo,900,100,100,100,100,100,100,100,100,100,100
Cupcake Candle Thief,290,100,100,100,100,100,100,100,100,100,100
Cupcake Cutie,950,100,100,100,100,100,100,100,100,100,100
Cupcake Runner,600,100,100,100,100,100,100,100,100,100,100
Cupid,680,100,100,100,100,0,100,100,100,100,100
Curious Chemist,800,100,0,0,100,0,100,100,175,100,0
Cursed,4225,100,0,0,0,0,0,0,0,0,0
Cursed Crusader,21500,0,0,0,0,0,0,0,0,0,600
Cursed Enchanter,3500,100,0,0,0,0,0,0,0,0,0
Cursed Engineer,6499,100,0,0,0,0,0,0,0,0,0
Cursed Librarian,12499,100,0,0,0,0,0,0,0,0,0
Cursed Taskmaster,24050,150,0,0,0,0,0,100,0,0,0
Cursed Thief,8502,100,0,0,0,0,0,0,0,0,0
Cute Cloud Conjurer,23400,0,0,0,100,0,0,0,0,0,0
Cute Crate Carrier,3499,0,0,0,0,0,0,0,0,200,0
Cutpurse,6650,0,0,0,0,0,0,0,0,0,200
Cutthroat Cannoneer,32604,100,100,100,100,0,100,100,100,100,0
Cutthroat Pirate,24375,100,100,100,100,0,100,100,100,100,0
Cuttle,3990,0,0,0,100,0,0,0,0,0,0
Cyber Miner,1350,10,10,10,10,0,10,10,10,10,100
Cybernetic Specialist,880,10,10,10,10,0,10,10,10,10,100
Cyborg,1340,10,10,10,10,0,10,10,10,10,100
Cycloness,10800,150,50,0,0,0,0,100,0,0,0
Cyclops,1600,100,0,0,100,0,100,100,175,100,0
Cyclops Barbarian,7500,10,10,10,10,0,10,10,10,10,100
Dance Party,500,100,100,100,100,100,100,100,100,100,100
Dancer,1280,50,50,50,50,25,50,50,200,0,0
Dancing Assassin,51150,0,0,0,0,0,0,0,0,0,275
Dangerous Duo,4999,0,0,0,0,0,0,0,0,200,0
Dark Magi,40001,100,0,0,0,0,0,0,0,0,0
Dark Templar,28901,100,0,300,0,0,0,0,0,0,0
Dashing Buccaneer,225,100,100,100,175,0,100,100,100,100,0
Davy Jones,2000,150,0,125,0,0,0,200,0,0,0
Dawn Guardian,72000,1000,0,0,0,0,0,100,0,0,0
Daydreamer,12565,100,100,100,100,0,100,100,100,100,0
Decrepit Tentacle Terror,24251,100,0,300,0,0,0,300,0,0,0
Deep,94990,0,0,0,100,0,0,0,0,0,0
Deep Sea Diver,7500,0,0,0,100,0,0,0,0,0,0
Defender,8400,0,0,0,0,0,0,0,175,0,0
Dehydrated,2000,0,0,0,100,0,0,0,0,0,0
Demolitions,2300,100,0,0,0,0,100,100,100,0,0
Deranged Deckhand,11150,0,0,0,100,0,0,0,0,0,0
Derpicorn,998,0,0,0,0,0,200,0,125,0,0
Derpshark,11302,0,0,0,100,0,0,0,0,0,0
Derr Chieftain,20400,0,0,0,0,0,175,0,0,0,0
Derr Lich,8400,150,0,200,0,0,0,125,0,0,0
Desert Archer,4398,0,0,0,75,0,100,0,75,0,0
Desert Architect,11151,0,0,0,0,0,300,0,300,300,0
Desert Nomad,17201,0,0,0,0,0,300,0,300,300,0
Desert Soldier,4900,0,0,0,75,0,100,0,75,0,0
Desperado,4500,0,0,0,0,0,0,0,0,200,0
Destructoy,1506,100,100,100,100,0,100,100,100,100,100
Devious Gentleman,5520,0,0,0,0,0,0,0,0,100,0
Diamond,400,100,0,100,100,0,100,100,100,100,0
Diamondhide,48748,0,0,200,0,0,0,0,0,0,0
Dinosuit,900,100,100,100,100,100,100,100,100,100,100
Dire Lycan,1240,101,101,101,101,101,101,101,101,101,300
Dirt Thing,5925,0,0,100,50,0,0,0,0,0,0
Dojo Sensei,45000,0,0,0,0,0,100,0,175,0,0
Doktor,1150,10,10,10,10,0,10,10,10,10,100
Double Black Diamond Racer,2400,100,100,100,100,0,100,100,100,100,100
Draconic Warden,13194,0,100,0,75,0,75,0,75,0,0
Dragon,74800,0,900,0,0,0,0,0,0,0,0
Dragonbreather,17790,0,100,0,0,0,0,0,0,0,0
Dragoon,38400,0,400,0,0,0,0,0,0,0,0
Dread Knight,2450,0,0,0,0,0,0,0,0,0,100
Dread Pirate Mousert,6380,0,0,0,100,0,0,0,0,0,0
Dream Drifter,947,10,10,10,10,0,10,10,10,10,100
Drudge,7900,100,0,300,0,0,0,0,0,0,0
Drummer,1000,50,50,50,50,25,50,50,200,0,0
Dumpling Chef,2000,0,0,0,0,0,100,0,175,0,0
Dumpling Delivery,2305,0,0,0,0,0,0,0,0,0,100
Dunehopper,5000,0,0,0,0,0,0,100,0,0,0
Dwarf,40,100,100,100,100,0,100,100,100,100,100
Eagle Owl,2295,100,0,0,100,0,100,100,175,100,0
Eclipse,37399,1000,1000,100000,1000,25,1000,1000,1000,0,0
Eel,4960,0,0,0,100,0,0,0,0,0,0
Effervescent,13500,0,0,0,0,0,125,0,250,0,0
Egg Painter,900,100,100,100,100,0,100,100,100,100,100
Egg Scrambler,1250,100,100,100,100,0,100,100,100,100,100
Eggscavator,2200,100,100,100,100,0,100,100,100,100,100
Eggsplosive Scientist,2100,100,100,100,100,0,100,100,100,100,100
Eggsquisite Entertainer,2200,100,100,100,100,0,100,100,100,100,100
El Flamenco,1400,100,100,100,100,100,100,100,100,100,100
Elder,8800,0,0,0,175,0,0,0,0,0,0
Elf,882,100,100,100,100,0,100,100,100,100,100
Elite Guardian,5710,0,0,0,100,0,0,0,0,0,0
Elixir Maker,5050,0,0,0,0,0,0,0,0,0,100
Elub Chieftain,15250,0,0,0,175,0,0,0,0,0,0
Elub Lich,8800,150,0,200,0,0,0,125,0,0,0
Elven Princess,1270,100,0,0,100,0,100,100,175,100,0
Emberstone Scaled,18690,0,600,0,0,0,0,0,0,0,0
Empyrean Appraiser,20550,300,300,300,300,0,300,300,300,300,0
Empyrean Empress,263025,500,500,500,500,0,500,500,500,500,0
Empyrean Geologist,15235,300,300,300,300,0,300,300,300,300,0
Empyrean Javelineer,25350,0,600,0,0,0,0,0,0,0,0
Enginseer,3930,0,0,0,100,0,0,0,0,0,0
Enlightened Labourer,2180,0,0,0,0,0,0,0,0,0,100
Enslaved Spirit,5730,150,0,125,0,0,0,200,0,0,0
Epoch Golem,1250,0,0,0,0,0,0,0,0,0,100
Escape Artist,50,25,25,25,25,25,200,25,100,100,0
Essence Collector,3275,100,0,0,0,0,0,0,0,0,0
Essence Guardian,3275,100,0,0,0,0,0,0,0,0,0
Ethereal Enchanter,2500,100,0,0,0,0,0,0,0,0,0
Ethereal Engineer,5500,100,0,0,0,0,0,0,0,0,0
Ethereal Guardian,10851,100,0,300,0,0,0,0,0,0,0
Ethereal Librarian,6499,100,0,0,0,0,0,0,0,0,0
Ethereal Thief,6499,100,0,0,0,0,0,0,0,0,0
Evil Scientist,1100,10,10,10,10,0,10,10,10,10,100
Excitable Electric,965,10,10,10,10,0,10,10,10,10,100
Exo-Tech,10851,100,0,300,0,0,0,0,0,0,0
Explorator,4700,0,0,0,0,0,175,0,150,0,0
Extreme Everysports,1000,100,100,100,100,0,100,100,100,100,100
Factory Technician,1000,100,100,100,100,100,100,100,100,100,100
Fairy,2500,100,0,0,100,0,100,100,175,100,0
Fall Familiar,11500,0,0,0,0,0,0,200,100,0,0
Fallen Champion Footman,72000,0,0,0,0,0,0,0,0,0,900
Falling Carpet,12200,0,0,0,0,0,300,0,300,300,0
Farmhand,600,100,100,100,100,0,100,100,100,100,100
Farrier,2250,0,0,0,0,0,0,0,0,200,0
Fencer,225,50,50,50,50,25,50,50,200,0,0
Fete Fromager,200,100,100,100,100,100,100,100,100,100,100
Fetid Swamp,12675,0,0,0,0,0,0,200,0,0,0
Fibbocchio,12000,0,0,100,0,0,0,0,0,0,0
Fiddler,2000,50,50,50,50,25,50,50,200,0,0
Field,5,100,100,100,100,0,100,100,100,100,100
Fiend,11000,125,125,125,400,25,75,125,75,0,0
Fiery Crusher,5095,0,0,0,0,0,0,100,0,0,0
Finder,2350,0,0,0,0,0,0,0,175,0,0
Firebreather,15401,0,0,0,0,0,0,0,150,0,0
Firefly,3691,0,0,0,0,0,0,0,150,0,0
Flamboyant Flautist,12500,0,0,100,0,0,0,0,0,0,0
Flame Archer,5200,0,0,0,75,0,100,0,75,0,0
Flame Ordnance,7900,100,0,0,50,0,50,0,50,0,0
Flame Warrior,5700,0,0,0,75,0,100,0,75,0,0
Floating Spore,9200,0,0,100,100,0,0,0,0,0,0
Flutterby,6248,0,0,0,0,0,125,0,200,0,0
Fluttering Flutist,8000,150,50,0,0,0,0,100,0,0,0
Flying,50,100,100,100,100,0,100,100,100,100,100
Fog,160,100,0,100,100,0,100,100,100,100,0
Force Fighter Blue,1000,100,100,100,100,100,100,100,100,100,100
Force Fighter Green,2000,100,100,100,100,100,100,100,100,100,100
Force Fighter Pink,1750,100,100,100,100,100,100,100,100,100,100
Force Fighter Red,1500,100,100,100,100,100,100,100,100,100,100
Force Fighter Yellow,1250,100,100,100,100,100,100,100,100,100,100
Forever Alone,900,100,100,100,100,0,100,100,100,100,100
Forgotten Elder,29000,0,0,600,0,0,0,0,0,0,0
Fortuitous Fool,39150,200,200,200,200,0,200,200,200,200,0
Foxy,1650,100,0,0,100,0,100,100,175,100,0
Free Skiing,2064,100,100,100,100,0,100,100,100,100,100
Frightened Flying Fireworks,106,100,100,100,100,0,100,100,100,100,100
Frigid Foreman,1276,100,100,100,100,0,100,100,100,100,100
Frog,590,100,0,0,100,0,100,100,175,100,0
Frost King,1768,100,100,100,100,0,100,100,100,100,0
Frostbite,14399,0,0,0,200,0,0,0,100,0,0
